Date,Stock,Open,High,Low,Close,Volume
2015-01-01,TCS,2567.0,2567.0,2541.0,2545.55,183415.0
2015-01-02,TCS,2551.0,2590.95,2550.6,2579.45,462870.0
2015-01-05,TCS,2581.0,2599.9,2524.65,2540.25,877121.0
2015-01-06,TCS,2529.1,2529.1,2440.0,2446.6,1211892.0
2015-01-07,TCS,2470.0,2479.15,2407.45,2417.7,1318166.0
2015-01-08,TCS,2442.4,2449.0,2420.55,2443.8,782704.0
2015-01-09,TCS,2455.0,2519.9,2450.0,2512.3,1598821.0
2015-01-12,TCS,2517.0,2528.0,2480.25,2509.7,798003.0
2015-01-13,TCS,2520.0,2530.4,2480.1,2497.9,734216.0
2015-01-14,TCS,2516.0,2531.8,2500.5,2521.95,893548.0
2015-01-15,TCS,2533.0,2581.75,2523.25,2539.1,2504960.0
2015-01-16,TCS,2543.7,2545.0,2484.3,2532.15,2646915.0
2015-01-19,TCS,2536.0,2551.0,2503.0,2511.0,567537.0
2015-01-20,TCS,2520.0,2530.0,2483.25,2500.45,1029283.0
2015-01-21,TCS,2522.0,2522.0,2488.25,2513.8,1155240.0
2015-01-22,TCS,2516.5,2521.25,2495.5,2513.55,1056607.0
2015-01-23,TCS,2514.0,2532.05,2496.1,2503.6,1575190.0
2015-01-27,TCS,2512.35,2515.0,2489.55,2502.05,1369368.0
2015-01-28,TCS,2503.0,2544.9,2502.9,2539.6,1560990.0
2015-01-29,TCS,2538.0,2568.7,2512.9,2544.65,1867196.0
2015-01-30,TCS,2560.7,2575.0,2470.0,2482.05,2908701.0
2015-02-02,TCS,2482.0,2521.45,2462.05,2514.2,1590901.0
2015-02-03,TCS,2511.65,2565.0,2507.1,2558.25,1172527.0
2015-02-04,TCS,2568.0,2571.7,2502.1,2514.3,1122709.0
2015-02-05,TCS,2520.0,2591.7,2519.0,2552.4,2265084.0
2015-02-06,TCS,2553.0,2594.8,2550.85,2575.75,1068208.0
2015-02-09,TCS,2561.5,2569.1,2500.0,2512.9,1038216.0
2015-02-10,TCS,2510.0,2526.25,2433.0,2441.15,1899527.0
2015-02-11,TCS,2455.05,2487.25,2447.25,2459.9,1468761.0
2015-02-12,TCS,2479.8,2479.8,2447.0,2462.15,1553990.0
2015-02-13,TCS,2470.0,2547.75,2460.25,2538.75,2079163.0
2015-02-16,TCS,2560.0,2595.0,2555.0,2584.8,1182196.0
2015-02-18,TCS,2585.05,2643.0,2565.25,2635.65,1330007.0
2015-02-19,TCS,2636.0,2687.3,2635.0,2681.05,1309001.0
2015-02-20,TCS,2698.8,2698.8,2642.25,2675.55,900794.0
2015-02-23,TCS,2671.0,2722.0,2671.0,2696.65,807446.0
2015-02-24,TCS,2694.0,2730.0,2679.0,2704.75,1099961.0
2015-02-25,TCS,2710.0,2722.0,2667.85,2672.2,883997.0
2015-02-26,TCS,2679.0,2692.75,2625.35,2656.45,995997.0
2015-02-27,TCS,2659.45,2675.75,2616.3,2662.35,1438688.0
2015-02-28,TCS,2677.0,2687.1,2643.0,2675.25,589498.0
2015-03-02,TCS,2679.7,2708.95,2652.55,2669.4,1088019.0
2015-03-03,TCS,2682.0,2790.0,2676.15,2776.0,1712154.0
2015-03-04,TCS,2788.0,2812.1,2715.65,2746.0,1931497.0
2015-03-05,TCS,2750.0,2770.7,2681.05,2696.45,1086757.0
2015-03-09,TCS,2640.0,2679.8,2610.0,2646.8,1441587.0
2015-03-10,TCS,2648.9,2678.25,2595.25,2642.7,1518526.0
2015-03-11,TCS,2642.0,2659.95,2597.8,2606.55,1120100.0
2015-03-12,TCS,2623.9,2624.9,2590.1,2619.05,913818.0
2015-03-13,TCS,2638.0,2639.95,2575.0,2582.35,793419.0
2015-03-16,TCS,2585.2,2610.0,2552.0,2562.3,778148.0
2015-03-17,TCS,2582.5,2606.7,2557.75,2583.7,633659.0
2015-03-18,TCS,2590.95,2599.45,2551.7,2559.35,627585.0
2015-03-19,TCS,2576.0,2605.85,2568.1,2596.25,1224482.0
2015-03-20,TCS,2596.0,2618.0,2578.85,2610.95,981954.0
2015-03-23,TCS,2616.0,2631.0,2606.0,2617.15,783304.0
2015-03-24,TCS,2630.0,2637.0,2582.1,2591.3,1197439.0
2015-03-25,TCS,2591.4,2614.0,2545.2,2573.75,1112429.0
2015-03-26,TCS,2553.3,2586.7,2501.0,2513.1,1545821.0
2015-03-27,TCS,2531.0,2571.9,2504.1,2514.8,1375888.0
2015-03-30,TCS,2525.0,2569.9,2520.0,2564.15,669503.0
2015-03-31,TCS,2569.45,2569.45,2521.0,2553.95,1213514.0
2015-04-01,TCS,2558.0,2563.6,2522.25,2542.65,1037879.0
