Date,Price
"Mar 30, 2018",65.115
"Mar 29, 2018",65.115
"Mar 28, 2018",65.16
"Mar 27, 2018",64.945
"Mar 26, 2018",64.825
"Mar 23, 2018",64.99
"Mar 22, 2018",65.105
"Mar 21, 2018",65.18
"Mar 20, 2018",65.21
"Mar 19, 2018",65.22
"Mar 16, 2018",64.99
"Mar 15, 2018",64.99
"Mar 14, 2018",64.84
"Mar 13, 2018",64.855
"Mar 12, 2018",64.985
"Mar 09, 2018",65.125
"Mar 08, 2018",65.105
"Mar 07, 2018",64.88
"Mar 06, 2018",64.905
"Mar 05, 2018",65.025
"Mar 02, 2018",65.22
"Mar 01, 2018",65.23
"Feb 28, 2018",65.21
"Feb 27, 2018",64.92
"Feb 26, 2018",64.77
"Feb 23, 2018",64.71
"Feb 22, 2018",64.975
"Feb 21, 2018",64.805
"Feb 20, 2018",64.86
"Feb 19, 2018",64.25
"Feb 16, 2018",64.215
"Feb 15, 2018",63.9
"Feb 14, 2018",64.1
"Feb 13, 2018",64.265
"Feb 12, 2018",64.28
"Feb 09, 2018",64.375
"Feb 08, 2018",64.3
"Feb 07, 2018",64.28
"Feb 06, 2018",64.23
"Feb 05, 2018",64.14
"Feb 02, 2018",64.13
"Feb 01, 2018",63.98
"Jan 31, 2018",63.55
"Jan 30, 2018",63.69
"Jan 29, 2018",63.6
"Jan 26, 2018",63.59
"Jan 25, 2018",63.515
"Jan 24, 2018",63.66
"Jan 23, 2018",63.76
"Jan 22, 2018",63.89
"Jan 19, 2018",63.83
"Jan 18, 2018",63.87
"Jan 17, 2018",63.885
"Jan 16, 2018",64.02
"Jan 15, 2018",63.515
"Jan 12, 2018",63.61
"Jan 11, 2018",63.69
"Jan 10, 2018",63.63
"Jan 09, 2018",63.67
"Jan 08, 2018",63.475
"Jan 05, 2018",63.34
"Jan 04, 2018",63.4
"Jan 03, 2018",63.505
"Jan 02, 2018",63.46
"Jan 01, 2018",63.68
"Dec 29, 2017",63.84
"Dec 28, 2017",64.08
"Dec 27, 2017",64.12
"Dec 26, 2017",64.05
"Dec 25, 2017",64.02
"Dec 22, 2017",64.02
