Date,Stock,Open,High,Low,Close,Volume,Bullish,Neutral,Bearish,Price
2018-01-01,TCS,2682.3,2694.8,2635.0,2645.6,675880.0,0.597531,0.246914,0.155556,63.68
2018-01-01,TATAMOTORS,430.95,436.4,422.25,424.45,6807536.0,0.597531,0.246914,0.155556,63.68
2018-01-01,TATASTEEL,732.5,735.4,719.5,722.2,1833942.0,0.597531,0.246914,0.155556,63.68
2018-01-01,TATACOFFEE,167.0,168.4,163.6,164.7,506856.0,0.597531,0.246914,0.155556,63.68
2018-01-01,TITAN,857.7,862.05,851.05,852.45,472607.0,0.597531,0.246914,0.155556,63.68
2018-01-02,TCS,2660.0,2669.6,2620.2,2631.2,960145.0,0.597531,0.246914,0.155556,63.46
2018-01-02,TATAMOTORS,428.85,440.85,422.0,439.3,15331261.0,0.597531,0.246914,0.155556,63.46
2018-01-02,TATASTEEL,724.0,731.25,715.25,729.3,2467294.0,0.597531,0.246914,0.155556,63.46
2018-01-02,TATACOFFEE,164.95,168.1,163.1,165.0,709478.0,0.597531,0.246914,0.155556,63.46
2018-01-02,TITAN,854.1,858.45,840.6,845.15,1181949.0,0.597531,0.246914,0.155556,63.46
2018-01-03,TCS,2632.0,2669.0,2631.2,2638.65,628560.0,0.597531,0.246914,0.155556,63.505
2018-01-03,TATAMOTORS,440.4,441.4,431.95,433.9,9794953.0,0.597531,0.246914,0.155556,63.505
2018-01-03,TATASTEEL,732.0,737.5,731.25,734.95,2634779.0,0.597531,0.246914,0.155556,63.505
2018-01-03,TATACOFFEE,165.95,168.05,165.3,165.7,519006.0,0.597531,0.246914,0.155556,63.505
2018-01-03,TITAN,863.9,869.4,853.0,856.3,2606556.0,0.597531,0.246914,0.155556,63.505
2018-01-04,TCS,2650.0,2662.0,2640.0,2657.1,456541.0,0.597531,0.246914,0.155556,63.4
2018-01-04,TATAMOTORS,430.0,433.3,425.75,429.95,8395377.0,0.597531,0.246914,0.155556,63.4
2018-01-04,TATASTEEL,736.5,763.45,732.0,760.25,8082986.0,0.597531,0.246914,0.155556,63.4
2018-01-04,TATACOFFEE,166.0,167.8,164.6,166.0,509983.0,0.597531,0.246914,0.155556,63.4
2018-01-04,TITAN,864.4,897.45,853.1,892.9,3028931.0,0.597531,0.246914,0.155556,63.4
2018-01-05,TCS,2650.0,2699.5,2650.0,2689.2,576853.0,0.486726,0.262537,0.250737,63.34
2018-01-05,TATAMOTORS,431.25,436.35,429.8,431.6,7021611.0,0.486726,0.262537,0.250737,63.34
2018-01-05,TATASTEEL,764.0,776.9,762.5,770.7,7136203.0,0.486726,0.262537,0.250737,63.34
2018-01-05,TATACOFFEE,166.6,171.0,166.6,167.7,1379031.0,0.486726,0.262537,0.250737,63.34
2018-01-05,TITAN,895.0,913.95,893.5,909.7,4036882.0,0.486726,0.262537,0.250737,63.34
2018-01-08,TCS,2700.0,2726.85,2681.85,2714.4,621110.0,0.486726,0.262537,0.250737,63.475
2018-01-08,TATAMOTORS,432.0,436.2,431.65,433.55,4635214.0,0.486726,0.262537,0.250737,63.475
2018-01-08,TATASTEEL,777.75,777.85,765.0,768.75,2584335.0,0.486726,0.262537,0.250737,63.475
2018-01-08,TATACOFFEE,168.45,169.75,166.5,167.55,679041.0,0.486726,0.262537,0.250737,63.475
2018-01-08,TITAN,911.0,930.0,906.75,926.1,2112170.0,0.486726,0.262537,0.250737,63.475
2018-01-09,TCS,2715.0,2721.0,2676.55,2709.0,1074698.0,0.486726,0.262537,0.250737,63.67
2018-01-09,TATAMOTORS,434.25,443.5,433.0,437.55,12629045.0,0.486726,0.262537,0.250737,63.67
2018-01-09,TATASTEEL,770.0,780.85,767.0,772.3,3197787.0,0.486726,0.262537,0.250737,63.67
2018-01-09,TATACOFFEE,168.0,173.4,165.25,170.0,2150413.0,0.486726,0.262537,0.250737,63.67
2018-01-09,TITAN,925.0,938.5,917.25,932.95,2419079.0,0.486726,0.262537,0.250737,63.67
2018-01-10,TCS,2711.0,2816.0,2694.65,2806.6,1682925.0,0.486726,0.262537,0.250737,63.63
2018-01-10,TATAMOTORS,438.0,439.3,431.3,433.3,4702579.0,0.486726,0.262537,0.250737,63.63
2018-01-10,TATASTEEL,771.25,777.0,762.9,772.85,2990882.0,0.486726,0.262537,0.250737,63.63
2018-01-10,TATACOFFEE,170.05,172.5,167.25,168.85,1353300.0,0.486726,0.262537,0.250737,63.63
2018-01-10,TITAN,932.5,935.4,911.9,917.6,1605433.0,0.486726,0.262537,0.250737,63.63
2018-01-11,TCS,2810.0,2821.9,2782.2,2790.5,1260524.0,0.486726,0.262537,0.250737,63.69
2018-01-11,TATAMOTORS,433.5,437.6,432.9,434.75,4565005.0,0.486726,0.262537,0.250737,63.69
2018-01-11,TATASTEEL,772.85,777.9,768.35,770.95,1934937.0,0.486726,0.262537,0.250737,63.69
2018-01-11,TATACOFFEE,169.1,172.8,168.2,169.15,1127350.0,0.486726,0.262537,0.250737,63.69
2018-01-11,TITAN,916.9,917.7,903.3,906.9,1597329.0,0.486726,0.262537,0.250737,63.69
2018-01-12,TCS,2805.0,2805.0,2740.55,2776.35,1680157.0,0.541133,0.244973,0.213894,63.61
2018-01-12,TATAMOTORS,437.0,441.45,432.1,437.1,7408870.0,0.541133,0.244973,0.213894,63.61
2018-01-12,TATASTEEL,771.2,776.8,760.05,770.25,2169940.0,0.541133,0.244973,0.213894,63.61
2018-01-12,TATACOFFEE,170.2,172.85,167.1,169.7,1272138.0,0.541133,0.244973,0.213894,63.61
2018-01-12,TITAN,906.0,917.4,892.45,903.8,1874518.0,0.541133,0.244973,0.213894,63.61
