Date,Stock,Open,High,Low,Close,Volume
2014-01-01,TATAMOTORS,377.55,378.8,374.05,374.95,1350265.0
2014-01-02,TATAMOTORS,374.95,376.2,369.2,372.35,2983093.0
2014-01-03,TATAMOTORS,368.0,368.0,360.0,362.7,4950946.0
2014-01-06,TATAMOTORS,367.5,370.5,364.2,366.95,5431816.0
2014-01-07,TATAMOTORS,367.0,370.0,363.75,365.1,3978229.0
2014-01-08,TATAMOTORS,365.1,371.6,364.55,370.25,5397831.0
2014-01-09,TATAMOTORS,372.2,372.4,365.0,367.95,3565546.0
2014-01-10,TATAMOTORS,370.0,370.6,365.5,367.0,3067850.0
2014-01-13,TATAMOTORS,372.65,379.45,371.75,376.15,6635467.0
2014-01-14,TATAMOTORS,375.1,375.5,368.1,371.8,3237644.0
2014-01-15,TATAMOTORS,374.0,378.15,372.7,377.3,4795274.0
2014-01-16,TATAMOTORS,379.0,379.0,366.8,369.75,7705700.0
2014-01-17,TATAMOTORS,367.5,373.9,367.05,369.7,4947903.0
2014-01-20,TATAMOTORS,371.05,376.75,370.5,374.9,3212466.0
2014-01-21,TATAMOTORS,375.0,387.8,372.2,384.8,5720137.0
2014-01-22,TATAMOTORS,381.45,387.5,380.05,386.1,5594747.0
2014-01-23,TATAMOTORS,385.25,389.0,380.7,383.6,3750003.0
2014-01-24,TATAMOTORS,379.0,382.05,368.8,370.4,3581923.0
2014-01-27,TATAMOTORS,363.0,363.0,345.55,348.25,9140386.0
2014-01-28,TATAMOTORS,345.5,359.4,345.5,356.25,6542003.0
2014-01-29,TATAMOTORS,360.1,362.55,350.55,351.75,3252615.0
2014-01-30,TATAMOTORS,349.3,367.5,349.0,361.75,9019795.0
2014-01-31,TATAMOTORS,358.4,358.4,347.0,349.55,6859611.0
2014-02-03,TATAMOTORS,347.0,349.75,335.6,336.4,5577370.0
2014-02-04,TATAMOTORS,332.1,346.7,332.1,345.85,11339969.0
2014-02-05,TATAMOTORS,343.0,358.5,339.55,355.1,9337843.0
2014-02-06,TATAMOTORS,353.05,360.25,349.0,357.65,7999919.0
2014-02-07,TATAMOTORS,360.0,363.0,356.1,360.2,5432815.0
2014-02-10,TATAMOTORS,365.0,367.4,358.0,364.05,6509957.0
2014-02-11,TATAMOTORS,381.05,382.7,370.65,374.5,15661815.0
2014-02-12,TATAMOTORS,376.0,383.0,375.15,376.65,7720562.0
2014-02-13,TATAMOTORS,380.0,383.45,374.7,375.95,6753321.0
2014-02-14,TATAMOTORS,380.2,390.0,380.2,388.8,6688954.0
2014-02-17,TATAMOTORS,392.05,395.45,384.25,386.6,8551120.0
2014-02-18,TATAMOTORS,387.95,394.25,385.3,391.4,6011915.0
2014-02-19,TATAMOTORS,392.0,393.0,387.9,391.5,3904872.0
2014-02-20,TATAMOTORS,391.5,395.0,389.4,391.85,6663891.0
2014-02-21,TATAMOTORS,395.0,397.8,392.85,396.2,6329199.0
2014-02-24,TATAMOTORS,397.05,400.85,394.2,396.55,5194044.0
2014-02-25,TATAMOTORS,399.0,399.7,393.55,398.5,3031959.0
2014-02-26,TATAMOTORS,397.1,402.55,396.05,401.2,7239939.0
2014-02-28,TATAMOTORS,410.0,418.2,404.35,416.95,12543449.0
2014-03-03,TATAMOTORS,415.0,415.0,408.25,410.7,6613105.0
2014-03-04,TATAMOTORS,411.25,420.7,405.8,412.9,5556293.0
2014-03-05,TATAMOTORS,415.0,416.2,407.15,409.6,4002207.0
2014-03-06,TATAMOTORS,411.5,412.3,404.4,408.45,5657373.0
2014-03-07,TATAMOTORS,408.5,415.85,405.5,409.1,5997347.0
2014-03-10,TATAMOTORS,404.4,406.65,393.45,396.0,5777982.0
2014-03-11,TATAMOTORS,393.0,404.5,393.0,397.95,6048848.0
2014-03-12,TATAMOTORS,397.1,398.0,388.0,388.85,4478567.0
2014-03-13,TATAMOTORS,393.45,396.65,384.85,388.0,3857870.0
2014-03-14,TATAMOTORS,383.0,394.7,383.0,393.25,3208372.0
2014-03-18,TATAMOTORS,394.0,397.35,380.5,381.25,6811167.0
2014-03-19,TATAMOTORS,385.9,387.65,379.55,384.35,6265086.0
2014-03-20,TATAMOTORS,382.0,385.0,378.75,379.7,4092825.0
2014-03-21,TATAMOTORS,382.15,390.0,381.9,389.15,5685397.0
2014-03-22,TATAMOTORS,388.6,390.0,386.55,389.0,300814.0
2014-03-24,TATAMOTORS,391.0,394.45,389.25,391.5,3159565.0
2014-03-25,TATAMOTORS,392.0,393.5,386.65,390.85,3891051.0
2014-03-26,TATAMOTORS,394.6,403.0,394.6,401.65,7347685.0
2014-03-27,TATAMOTORS,403.0,404.95,393.75,396.7,9166505.0
2014-03-28,TATAMOTORS,400.8,403.35,395.4,397.3,3365107.0
2014-03-31,TATAMOTORS,401.0,404.15,396.65,398.65,4118759.0
